epoch,learning_rate,loss,val_loss
0,0.0003000000142492354,1.9738472700119019,1.5869040489196777
1,0.0003000000142492354,1.6250958442687988,1.5329490900039673
2,0.0003000000142492354,1.4684706926345825,1.4619100093841553
3,0.0003000000142492354,1.390520691871643,1.3352559804916382
4,0.0003000000142492354,1.2592922449111938,1.546384334564209
5,0.0003000000142492354,1.1924794912338257,1.3452202081680298
6,9.000000136438757e-05,1.001454472541809,1.2665950059890747
7,9.000000136438757e-05,0.9551886916160583,1.3361696004867554
8,9.000000136438757e-05,0.9222004413604736,1.2994991540908813
9,2.700000004551839e-05,0.8251016139984131,1.277665138244629
10,2.700000004551839e-05,0.7998626828193665,1.325563907623291
